tenure,InternetService,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,AverageCharges,Churn
9,DSL,No,Month-to-month,Electronic check,45.15,416.45,46.27,1
9,Fiber optic,No,Month-to-month,Mailed check,88.4,788.6,87.62,0
4,DSL,Yes,Month-to-month,Mailed check,50.8,202.3,50.58,0
71,Fiber optic,No,Two year,Electronic check,99.0,6994.6,98.52,0
50,Fiber optic,No,Month-to-month,Bank transfer (automatic),84.4,4116.15,82.32,1
24,Fiber optic,No,Two year,Electronic check,96.55,2263.45,94.31,0
22,DSL,No,One year,Bank transfer (automatic),59.75,1374.35,62.47,0
44,Fiber optic,No,Month-to-month,Electronic check,111.5,4915.15,111.71,0
33,No,No internet service,Month-to-month,Bank transfer (automatic),24.25,838.5,25.41,0
1,Fiber optic,No,Month-to-month,Electronic check,75.1,75.1,75.1,1
54,DSL,No,One year,Credit card (automatic),70.15,3715.65,68.81,1
42,Fiber optic,No,Month-to-month,Electronic check,101.75,4273.45,101.75,1
1,DSL,No,Month-to-month,Electronic check,45.8,45.8,45.8,1
1,No,No internet service,Month-to-month,Mailed check,20.5,20.5,20.5,0
30,DSL,Yes,One year,Electronic check,70.4,2044.75,68.16,0
1,DSL,Yes,Month-to-month,Mailed check,30.55,30.55,30.55,0
16,DSL,Yes,Month-to-month,Electronic check,84.9,1398.25,87.39,0
1,No,No internet service,Month-to-month,Mailed check,20.1,20.1,20.1,1
9,DSL,Yes,Month-to-month,Mailed check,40.65,328.95,36.55,1
46,Fiber optic,No,Month-to-month,Electronic check,101.0,4680.05,101.74,1
1,Fiber optic,No,Month-to-month,Electronic check,69.1,69.1,69.1,1
71,DSL,Yes,Two year,Bank transfer (automatic),54.5,3778.2,53.21,0
43,Fiber optic,No,Month-to-month,Credit card (automatic),75.35,3161.4,73.52,0
50,DSL,Yes,One year,Bank transfer (automatic),44.45,2188.45,43.77,0
13,Fiber optic,No,Month-to-month,Mailed check,75.0,999.45,76.88,1
19,Fiber optic,Yes,One year,Bank transfer (automatic),100.0,1888.65,99.4,1
41,Fiber optic,No,Month-to-month,Bank transfer (automatic),98.05,3990.6,97.33,0
1,Fiber optic,No,Month-to-month,Electronic check,71.15,71.15,71.15,1
24,DSL,No,Month-to-month,Credit card (automatic),54.15,1240.25,51.68,1
40,DSL,No,One year,Bank transfer (automatic),63.9,2635.0,65.88,0
3,DSL,No,Month-to-month,Bank transfer (automatic),69.15,235.0,78.33,0
37,DSL,No,One year,Bank transfer (automatic),64.65,2347.85,63.46,0
67,Fiber optic,Yes,Two year,Credit card (automatic),108.75,7156.2,106.81,1
32,Fiber optic,No,Month-to-month,Electronic check,98.85,3089.6,96.55,0
6,DSL,Yes,Month-to-month,Electronic check,49.15,270.8,45.13,1
32,Fiber optic,No,Month-to-month,Electronic check,89.6,2901.8,90.68,0
59,Fiber optic,No,Month-to-month,Electronic check,83.25,4949.1,83.88,0
30,DSL,Yes,One year,Bank transfer (automatic),70.25,2198.9,73.3,0
20,No,No internet service,Month-to-month,Electronic check,19.4,374.5,18.73,1
27,No,No internet service,Two year,Electronic check,24.5,761.95,28.22,0
20,Fiber optic,No,Month-to-month,Electronic check,79.15,1520.9,76.04,1
9,No,No internet service,One year,Mailed check,20.1,190.25,21.14,0
68,DSL,No,One year,Credit card (automatic),73.0,5163.0,75.93,0
69,DSL,Yes,Two year,Credit card (automatic),61.4,4059.85,58.84,0
26,Fiber optic,Yes,Month-to-month,Mailed check,84.3,2281.6,87.75,0
69,No,No internet service,Two year,Bank transfer (automatic),19.9,1356.7,19.66,0
11,No,No internet service,Two year,Mailed check,20.4,231.45,21.04,0
1,DSL,No,Month-to-month,Mailed check,50.75,50.75,50.75,0
10,No,No internet service,One year,Mailed check,20.45,242.4,24.24,0
55,DSL,Yes,One year,Bank transfer (automatic),75.75,4264.25,77.53,0
44,DSL,Yes,One year,Electronic check,65.4,2774.55,63.06,0
46,Fiber optic,No,Month-to-month,Electronic check,80.4,3605.2,78.37,1
69,DSL,No,Two year,Bank transfer (automatic),59.75,4069.9,58.98,0
11,Fiber optic,No,Month-to-month,Electronic check,78.5,874.2,79.47,0
11,Fiber optic,No,Month-to-month,Electronic check,102.0,1145.35,104.12,1
29,DSL,No,Month-to-month,Bank transfer (automatic),48.95,1323.7,45.64,0
57,Fiber optic,No,Month-to-month,Electronic check,99.65,5497.05,96.44,0
28,No,No internet service,One year,Credit card (automatic),18.25,534.7,19.1,0
42,DSL,No,Month-to-month,Credit card (automatic),54.55,2455.05,58.45,0
2,No,No internet service,Month-to-month,Mailed check,20.65,38.7,19.35,1
23,DSL,Yes,One year,Bank transfer (automatic),40.65,947.4,41.19,0
18,No,No internet service,Month-to-month,Mailed check,20.45,357.0,19.83,0
62,No,No internet service,One year,Bank transfer (automatic),24.8,1476.25,23.81,0
1,Fiber optic,No,Month-to-month,Mailed check,70.8,70.8,70.8,1
16,Fiber optic,Yes,Month-to-month,Credit card (automatic),89.05,1448.6,90.54,1
3,Fiber optic,No,Month-to-month,Electronic check,96.6,291.9,97.3,1
67,DSL,Yes,One year,Bank transfer (automatic),88.8,5903.15,88.11,0
62,No,No internet service,Two year,Credit card (automatic),20.05,1201.65,19.38,0
57,Fiber optic,No,Month-to-month,Credit card (automatic),104.5,5921.35,103.88,1
2,Fiber optic,No,Month-to-month,Electronic check,69.8,146.65,73.32,0
23,DSL,Yes,Two year,Bank transfer (automatic),77.15,1759.4,76.5,0
25,DSL,Yes,Two year,Bank transfer (automatic),35.05,844.45,33.78,0
72,Fiber optic,Yes,Two year,Bank transfer (automatic),108.1,7774.05,107.97,0
2,Fiber optic,No,Month-to-month,Electronic check,84.05,134.05,67.03,0
8,No,No internet service,One year,Bank transfer (automatic),20.2,140.95,17.62,0
5,DSL,No,Month-to-month,Mailed check,50.6,249.95,49.99,1
35,DSL,No,Month-to-month,Electronic check,49.2,1701.65,48.62,0
24,No,No internet service,One year,Electronic check,24.6,592.65,24.69,0
2,Fiber optic,No,Month-to-month,Electronic check,71.65,135.75,67.88,0
72,Fiber optic,Yes,Two year,Credit card (automatic),104.9,7732.65,107.4,0
41,Fiber optic,Yes,Month-to-month,Electronic check,106.5,4282.4,104.45,0
4,DSL,No,Month-to-month,Electronic check,49.35,219.65,54.91,1
26,Fiber optic,No,One year,Bank transfer (automatic),75.5,2018.1,77.62,0
7,Fiber optic,No,Month-to-month,Electronic check,94.25,669.0,95.57,1
1,Fiber optic,No,Month-to-month,Electronic check,68.95,68.95,68.95,1
4,DSL,Yes,Month-to-month,Mailed check,58.5,224.85,56.21,0
48,DSL,Yes,Two year,Credit card (automatic),78.9,3771.5,78.57,0
2,Fiber optic,No,Month-to-month,Electronic check,93.85,196.75,98.38,1
12,DSL,Yes,One year,Electronic check,79.2,943.85,78.65,0
60,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),109.45,6572.85,109.55,0
55,DSL,Yes,Two year,Electronic check,59.2,3175.85,57.74,0
1,DSL,Yes,Month-to-month,Mailed check,29.15,29.15,29.15,0
1,No,No internet service,Month-to-month,Mailed check,20.05,20.05,20.05,0
4,Fiber optic,No,Month-to-month,Electronic check,76.05,318.9,79.72,1
1,DSL,No,Month-to-month,Mailed check,24.45,24.45,24.45,1
42,DSL,Yes,Two year,Credit card (automatic),66.5,2762.75,65.78,0
1,DSL,No,Month-to-month,Bank transfer (automatic),49.55,49.55,49.55,0
7,Fiber optic,No,Month-to-month,Credit card (automatic),89.35,631.85,90.26,1
3,Fiber optic,No,Month-to-month,Credit card (automatic),73.6,232.5,77.5,0
72,DSL,No,Two year,Credit card (automatic),82.65,5919.35,82.21,0
15,DSL,No,Month-to-month,Electronic check,49.0,749.25,49.95,0
4,Fiber optic,No,Month-to-month,Electronic check,80.35,307.4,76.85,1
11,No,No internet service,One year,Electronic check,25.2,245.15,22.29,0
5,No,No internet service,Month-to-month,Mailed check,25.45,134.75,26.95,0
1,DSL,No,Month-to-month,Electronic check,55.8,55.8,55.8,1
72,Fiber optic,Yes,Two year,Credit card (automatic),110.9,8240.85,114.46,0
55,Fiber optic,No,Month-to-month,Credit card (automatic),77.75,4266.4,77.57,0
40,No,No internet service,Month-to-month,Electronic check,26.2,1077.5,26.94,0
57,No,No internet service,Two year,Bank transfer (automatic),19.9,1115.6,19.57,0
1,Fiber optic,No,Month-to-month,Electronic check,79.05,79.05,79.05,1
1,Fiber optic,No,Month-to-month,Electronic check,95.0,95.0,95.0,1
1,DSL,No,Month-to-month,Mailed check,25.2,25.2,25.2,1
52,DSL,No,One year,Electronic check,80.85,4079.55,78.45,0
41,Fiber optic,No,Month-to-month,Electronic check,98.4,4187.75,102.14,1
43,DSL,No,One year,Mailed check,56.35,2391.15,55.61,0
47,No,No internet service,Two year,Bank transfer (automatic),19.3,890.5,18.95,0
3,DSL,No,Month-to-month,Bank transfer (automatic),50.4,137.25,45.75,0
66,DSL,Yes,Two year,Credit card (automatic),79.4,5154.6,78.1,1
55,DSL,Yes,Two year,Credit card (automatic),55.25,3119.9,56.73,0
29,No,No internet service,One year,Mailed check,19.1,529.5,18.26,0
12,Fiber optic,No,Month-to-month,Electronic check,84.05,966.55,80.55,0
66,Fiber optic,No,Month-to-month,Electronic check,105.2,6936.85,105.1,0
35,Fiber optic,No,Month-to-month,Electronic check,101.4,3496.3,99.89,1
10,Fiber optic,No,Month-to-month,Electronic check,89.8,914.3,91.43,1
27,Fiber optic,No,Month-to-month,Bank transfer (automatic),75.75,1929.0,71.44,0
58,Fiber optic,Yes,Month-to-month,Electronic check,95.3,5817.7,100.31,0
54,Fiber optic,Yes,Two year,Bank transfer (automatic),109.75,6110.2,113.15,1
9,No,No internet service,Month-to-month,Mailed check,19.85,178.8,19.87,0
2,No,No internet service,One year,Credit card (automatic),19.3,28.3,14.15,1
6,Fiber optic,No,Month-to-month,Electronic check,69.1,435.0,72.5,0
26,Fiber optic,No,Month-to-month,Electronic check,91.25,2351.8,90.45,1
9,No,No internet service,Month-to-month,Mailed check,20.25,186.15,20.68,0
8,DSL,No,Month-to-month,Mailed check,54.75,445.85,55.73,0
12,Fiber optic,No,Month-to-month,Electronic check,81.45,912.0,76.0,0
15,DSL,No,Month-to-month,Electronic check,49.1,679.55,45.3,1
43,DSL,No,One year,Electronic check,80.2,3581.6,83.29,0
42,Fiber optic,Yes,Month-to-month,Electronic check,100.3,4222.95,100.55,0
31,DSL,Yes,Month-to-month,Credit card (automatic),65.25,1994.3,64.33,1
66,Fiber optic,Yes,Two year,Credit card (automatic),90.95,5930.05,89.85,0
18,Fiber optic,Yes,Month-to-month,Electronic check,85.45,1505.85,83.66,1
1,No,No internet service,Month-to-month,Mailed check,20.0,20.0,20.0,0
61,Fiber optic,Yes,Two year,Electronic check,94.1,5638.3,92.43,1
10,Fiber optic,No,Month-to-month,Electronic check,79.85,797.25,79.72,0
1,Fiber optic,No,Month-to-month,Electronic check,71.65,71.65,71.65,1
18,Fiber optic,No,Month-to-month,Electronic check,73.55,1359.45,75.53,0
24,Fiber optic,No,Month-to-month,Electronic check,104.65,2542.45,105.94,1
3,No,No internet service,Month-to-month,Mailed check,19.3,54.7,18.23,0
50,No,No internet service,One year,Credit card (automatic),20.15,989.05,19.78,0
1,DSL,No,Month-to-month,Electronic check,44.55,44.55,44.55,0
2,DSL,Yes,Month-to-month,Mailed check,54.45,87.3,43.65,0
17,No,No internet service,One year,Bank transfer (automatic),19.65,351.55,20.68,0
69,Fiber optic,No,Two year,Electronic check,105.0,7297.75,105.76,0
72,DSL,Yes,Two year,Credit card (automatic),88.7,6301.7,87.52,0
3,Fiber optic,No,Month-to-month,Electronic check,74.25,210.3,70.1,1
50,DSL,No,Two year,Bank transfer (automatic),75.15,3822.45,76.45,0
53,No,No internet service,Two year,Mailed check,20.25,1048.45,19.78,0
58,Fiber optic,Yes,Two year,Credit card (automatic),109.1,6393.65,110.24,0
46,DSL,No,One year,Bank transfer (automatic),30.75,1489.3,32.38,0
72,Fiber optic,Yes,Month-to-month,Credit card (automatic),112.9,8061.5,111.97,0
1,Fiber optic,No,Month-to-month,Electronic check,74.2,74.2,74.2,1
6,Fiber optic,No,Month-to-month,Mailed check,94.05,518.75,86.46,0
72,DSL,Yes,Two year,Bank transfer (automatic),78.85,5763.15,80.04,0
4,DSL,No,Month-to-month,Mailed check,55.3,238.5,59.62,0
52,No,No internet service,Two year,Mailed check,19.35,1031.7,19.84,0
0,No,No internet service,Two year,Mailed check,25.35,2283.3004408418656,inf,0
2,No,No internet service,One year,Mailed check,20.45,34.8,17.4,0
65,No,No internet service,Two year,Bank transfer (automatic),19.35,1319.95,20.31,0
43,Fiber optic,No,Month-to-month,Electronic check,101.0,4388.4,102.06,1
4,Fiber optic,No,Month-to-month,Electronic check,100.2,420.2,105.05,1
25,Fiber optic,No,One year,Electronic check,89.05,2177.45,87.1,1
51,DSL,Yes,One year,Credit card (automatic),78.65,3950.85,77.47,0
12,DSL,No,Month-to-month,Bank transfer (automatic),74.75,827.05,68.92,0
57,DSL,No,One year,Bank transfer (automatic),70.1,3913.3,68.65,1
24,No,No internet service,One year,Mailed check,19.9,533.5,22.23,0
64,DSL,Yes,One year,Bank transfer (automatic),58.35,3756.45,58.69,0
4,Fiber optic,Yes,One year,Electronic check,105.65,443.9,110.98,1
26,Fiber optic,No,Month-to-month,Bank transfer (automatic),100.5,2599.95,100.0,0
15,No,No internet service,Month-to-month,Mailed check,20.05,284.3,18.95,0
64,No,No internet service,Two year,Credit card (automatic),25.65,1740.8,27.2,0
36,Fiber optic,No,Month-to-month,Electronic check,96.5,3436.1,95.45,1
27,Fiber optic,No,Month-to-month,Credit card (automatic),95.0,2462.55,91.21,0
1,Fiber optic,No,Month-to-month,Mailed check,70.85,70.85,70.85,1
35,DSL,Yes,One year,Credit card (automatic),85.95,3110.1,88.86,1
4,Fiber optic,No,Month-to-month,Electronic check,73.9,280.85,70.21,1
8,DSL,No,Month-to-month,Electronic check,45.45,411.75,51.47,0
10,No,No internet service,Month-to-month,Credit card (automatic),20.0,198.6,19.86,0
2,DSL,No,Month-to-month,Mailed check,49.2,103.7,51.85,0
58,Fiber optic,No,Two year,Bank transfer (automatic),109.45,6144.55,105.94,1
51,DSL,Yes,Two year,Credit card (automatic),83.25,4089.45,80.19,0
46,No,No internet service,Two year,Mailed check,19.25,864.2,18.79,0
1,No,No internet service,Month-to-month,Bank transfer (automatic),19.65,19.65,19.65,0
46,Fiber optic,No,Month-to-month,Bank transfer (automatic),72.8,3249.4,70.64,0
50,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),109.65,5405.8,108.12,0
53,DSL,Yes,Month-to-month,Credit card (automatic),65.0,3363.8,63.47,0
61,Fiber optic,Yes,Month-to-month,Electronic check,114.1,7132.15,116.92,0
5,No,No internet service,Month-to-month,Bank transfer (automatic),20.65,93.55,18.71,0
47,DSL,Yes,One year,Bank transfer (automatic),86.95,4138.9,88.06,0
54,Fiber optic,No,One year,Bank transfer (automatic),94.75,5121.75,94.85,0
19,DSL,No,Month-to-month,Credit card (automatic),25.35,566.1,29.79,0
26,Fiber optic,Yes,Two year,Electronic check,105.45,2715.3,104.43,0
70,No,No internet service,Two year,Mailed check,25.4,1782.05,25.46,0
17,Fiber optic,No,Month-to-month,Electronic check,102.55,1742.5,102.5,0
30,Fiber optic,No,Month-to-month,Electronic check,100.2,2983.8,99.46,1
1,No,No internet service,Month-to-month,Mailed check,24.0,24.0,24.0,0
19,No,No internet service,Two year,Mailed check,25.6,485.9,25.57,0
26,DSL,No,Two year,Credit card (automatic),73.5,1905.7,73.3,0
21,Fiber optic,No,Month-to-month,Bank transfer (automatic),74.05,1565.7,74.56,1
50,Fiber optic,No,One year,Electronic check,98.25,4858.7,97.17,0
68,DSL,No,One year,Electronic check,54.4,3723.65,54.76,0
3,Fiber optic,No,Month-to-month,Bank transfer (automatic),101.55,298.35,99.45,1
9,Fiber optic,Yes,Month-to-month,Electronic check,103.1,970.45,107.83,0
51,DSL,Yes,Two year,Bank transfer (automatic),34.2,1782.0,34.94,0
9,DSL,No,Month-to-month,Electronic check,43.75,405.7,45.08,0
41,Fiber optic,Yes,One year,Electronic check,111.95,4534.9,110.61,1
22,Fiber optic,No,Month-to-month,Electronic check,100.65,2415.95,109.82,0
21,DSL,No,One year,Electronic check,55.95,1157.05,55.1,1
71,Fiber optic,Yes,Two year,Bank transfer (automatic),116.05,8297.5,116.87,0
1,DSL,No,Month-to-month,Electronic check,45.75,45.75,45.75,1
26,DSL,Yes,One year,Credit card (automatic),82.0,2083.1,80.12,0
71,DSL,Yes,Two year,Bank transfer (automatic),65.15,4681.75,65.94,0
4,DSL,No,Month-to-month,Credit card (automatic),44.8,176.2,44.05,0
12,Fiber optic,No,Month-to-month,Electronic check,79.8,1001.2,83.43,0
18,Fiber optic,Yes,Month-to-month,Electronic check,88.85,1594.75,88.6,0
3,Fiber optic,No,Month-to-month,Electronic check,74.95,212.4,70.8,0
72,Fiber optic,No,One year,Bank transfer (automatic),106.85,7677.4,106.63,0
11,Fiber optic,No,Month-to-month,Electronic check,74.95,815.5,74.14,1
1,Fiber optic,No,Month-to-month,Credit card (automatic),80.15,80.15,80.15,1
13,No,No internet service,One year,Credit card (automatic),19.3,259.65,19.97,0
72,Fiber optic,Yes,One year,Electronic check,109.25,8109.8,112.64,1
42,DSL,No,One year,Credit card (automatic),56.1,2386.85,56.83,0
17,No,No internet service,Month-to-month,Credit card (automatic),19.7,340.35,20.02,0
7,DSL,No,Month-to-month,Mailed check,51.3,419.35,59.91,0
68,Fiber optic,Yes,Two year,Mailed check,118.6,7990.05,117.5,0
56,No,No internet service,Two year,Bank transfer (automatic),24.15,1402.25,25.04,0
38,No,No internet service,One year,Mailed check,20.3,749.35,19.72,0
72,Fiber optic,Yes,Two year,Electronic check,115.5,8425.15,117.02,0
48,No,No internet service,One year,Credit card (automatic),25.05,1171.5,24.41,0
52,Fiber optic,No,Month-to-month,Electronic check,109.1,5647.95,108.61,0
35,No,No internet service,One year,Mailed check,19.65,708.8,20.25,0
67,Fiber optic,Yes,Two year,Bank transfer (automatic),111.3,7567.2,112.94,0
1,DSL,No,Month-to-month,Mailed check,29.9,29.9,29.9,0
53,Fiber optic,Yes,Month-to-month,Mailed check,80.6,4348.1,82.04,0
34,No,No internet service,Month-to-month,Mailed check,20.8,635.9,18.7,0
3,DSL,No,Month-to-month,Credit card (automatic),35.2,108.95,36.32,1
1,Fiber optic,No,Month-to-month,Electronic check,78.8,78.8,78.8,1
19,Fiber optic,Yes,Month-to-month,Mailed check,89.95,1682.4,88.55,0
60,Fiber optic,Yes,Two year,Bank transfer (automatic),116.05,6925.9,115.43,0
11,No,No internet service,Two year,Credit card (automatic),19.55,223.15,20.29,0
47,Fiber optic,No,Month-to-month,Electronic check,106.4,5127.95,109.11,1
18,DSL,No,Month-to-month,Electronic check,49.4,874.8,48.6,1
60,Fiber optic,Yes,Two year,Credit card (automatic),115.25,6758.45,112.64,0
72,No,No internet service,Two year,Credit card (automatic),24.8,1874.3,26.03,0
39,No,No internet service,One year,Mailed check,19.9,791.15,20.29,0
59,Fiber optic,No,One year,Credit card (automatic),81.25,4639.45,78.63,0
2,Fiber optic,No,Month-to-month,Mailed check,69.95,143.9,71.95,0
1,Fiber optic,No,Month-to-month,Electronic check,69.1,69.1,69.1,1
20,Fiber optic,No,Month-to-month,Electronic check,90.2,1776.55,88.83,1
6,Fiber optic,No,Month-to-month,Bank transfer (automatic),93.55,536.4,89.4,1
71,Fiber optic,Yes,Two year,Credit card (automatic),86.4,6172.0,86.93,0
24,DSL,No,Month-to-month,Mailed check,66.3,1559.45,64.98,0
67,Fiber optic,No,Month-to-month,Credit card (automatic),94.65,6079.0,90.73,0
1,Fiber optic,No,Month-to-month,Mailed check,80.85,80.85,80.85,1
48,Fiber optic,No,One year,Mailed check,82.05,4029.95,83.96,1
37,DSL,Yes,One year,Mailed check,72.1,2658.4,71.85,0
11,DSL,No,Month-to-month,Mailed check,34.7,383.55,34.87,0
3,No,No internet service,Month-to-month,Credit card (automatic),20.55,51.15,17.05,1
18,Fiber optic,No,Month-to-month,Credit card (automatic),95.95,1745.5,96.97,0
50,DSL,No,One year,Bank transfer (automatic),44.8,2230.85,44.62,0
67,Fiber optic,Yes,One year,Electronic check,109.4,7281.6,108.68,0
25,DSL,Yes,Month-to-month,Mailed check,71.05,1837.7,73.51,0
2,Fiber optic,No,Month-to-month,Electronic check,78.55,149.55,74.78,1
9,No,No internet service,Month-to-month,Credit card (automatic),19.7,180.7,20.08,0
10,DSL,Yes,One year,Mailed check,40.25,411.45,41.14,0
70,No,No internet service,Two year,Credit card (automatic),19.85,1328.35,18.98,0
9,DSL,Yes,Month-to-month,Bank transfer (automatic),68.25,576.95,64.11,0
4,No,No internet service,Month-to-month,Credit card (automatic),20.15,68.45,17.11,0
2,DSL,No,Month-to-month,Mailed check,50.95,123.05,61.52,0
1,Fiber optic,No,Month-to-month,Electronic check,78.65,78.65,78.65,1
19,DSL,No,Month-to-month,Bank transfer (automatic),25.15,468.35,24.65,0
7,No,No internet service,Month-to-month,Bank transfer (automatic),20.25,174.7,24.96,0
1,DSL,No,Month-to-month,Electronic check,42.9,42.9,42.9,1
1,DSL,No,Month-to-month,Electronic check,44.0,44.0,44.0,0
9,No,No internet service,One year,Mailed check,20.25,172.35,19.15,0
3,DSL,Yes,Month-to-month,Mailed check,34.25,139.35,46.45,1
9,DSL,Yes,Month-to-month,Mailed check,58.5,539.85,59.98,1
5,DSL,No,Month-to-month,Credit card (automatic),55.8,300.4,60.08,0
56,Fiber optic,No,One year,Bank transfer (automatic),88.9,4968.0,88.71,0
18,DSL,No,Month-to-month,Mailed check,57.65,992.7,55.15,0
49,Fiber optic,No,Month-to-month,Electronic check,96.2,4718.25,96.29,1
70,DSL,Yes,Two year,Mailed check,79.15,5536.5,79.09,0
72,Fiber optic,Yes,Two year,Credit card (automatic),108.05,7806.6,108.43,0
6,Fiber optic,No,Month-to-month,Electronic check,74.4,434.1,72.35,1
17,Fiber optic,No,Month-to-month,Electronic check,94.8,1563.9,91.99,0
29,DSL,No,Month-to-month,Electronic check,45.9,1332.4,45.94,0
6,Fiber optic,No,Month-to-month,Electronic check,105.3,545.2,90.87,1
63,Fiber optic,No,Two year,Electronic check,102.6,6296.75,99.95,0
16,Fiber optic,No,Month-to-month,Bank transfer (automatic),73.85,1284.2,80.26,1
59,DSL,No,One year,Bank transfer (automatic),61.35,3645.5,61.79,0
3,DSL,No,Month-to-month,Electronic check,57.55,161.45,53.82,0
8,DSL,No,Month-to-month,Mailed check,29.25,226.95,28.37,0
7,Fiber optic,No,Month-to-month,Electronic check,84.55,646.85,92.41,1
68,No,No internet service,Two year,Credit card (automatic),19.6,1441.65,21.2,0
68,Fiber optic,Yes,Two year,Credit card (automatic),111.75,7511.3,110.46,0
52,Fiber optic,No,One year,Electronic check,106.5,5621.85,108.11,0
72,Fiber optic,Yes,Two year,Credit card (automatic),107.7,7919.8,110.0,0
32,No,No internet service,One year,Mailed check,19.3,593.2,18.54,0
72,No,No internet service,Two year,Bank transfer (automatic),20.05,1423.65,19.77,0
1,Fiber optic,No,Month-to-month,Credit card (automatic),69.95,69.95,69.95,0
42,DSL,Yes,One year,Credit card (automatic),63.7,2763.35,65.79,0
25,No,No internet service,Two year,Credit card (automatic),24.75,692.1,27.68,1
45,DSL,No,Month-to-month,Bank transfer (automatic),50.9,2298.55,51.08,0
43,DSL,Yes,One year,Credit card (automatic),60.4,2640.55,61.41,0
37,DSL,No,One year,Mailed check,79.25,2911.8,78.7,0
20,Fiber optic,No,Month-to-month,Credit card (automatic),85.8,1727.5,86.38,1
4,DSL,No,Month-to-month,Electronic check,24.45,86.6,21.65,1
63,Fiber optic,Yes,Two year,Credit card (automatic),110.1,6705.7,106.44,0
3,Fiber optic,No,Month-to-month,Mailed check,90.7,237.65,79.22,0
66,No,No internet service,Two year,Credit card (automatic),25.3,1672.35,25.34,0
28,Fiber optic,No,Month-to-month,Electronic check,105.7,2979.5,106.41,1
8,Fiber optic,No,Month-to-month,Electronic check,85.2,695.75,86.97,0
71,No,No internet service,Two year,Mailed check,24.35,1654.6,23.3,0
1,DSL,No,Month-to-month,Electronic check,24.25,24.25,24.25,1
72,No,No internet service,Two year,Bank transfer (automatic),25.1,1857.85,25.8,0
16,DSL,No,Month-to-month,Bank transfer (automatic),54.55,825.1,51.57,0
66,Fiber optic,Yes,Two year,Mailed check,96.6,6424.25,97.34,0
11,Fiber optic,No,Month-to-month,Electronic check,76.5,837.95,76.18,1
51,DSL,Yes,One year,Credit card (automatic),81.15,4126.2,80.91,0
8,DSL,No,Month-to-month,Electronic check,38.5,330.8,41.35,0
14,Fiber optic,No,Month-to-month,Electronic check,92.9,1337.45,95.53,0
4,Fiber optic,Yes,Month-to-month,Electronic check,93.5,362.2,90.55,1
70,DSL,No,Two year,Mailed check,84.7,5991.05,85.59,0
70,DSL,Yes,Two year,Electronic check,66.0,4891.5,69.88,0
54,Fiber optic,No,One year,Credit card (automatic),101.5,5373.1,99.5,1
28,Fiber optic,No,Month-to-month,Bank transfer (automatic),74.9,2068.55,73.88,1
24,No,No internet service,Two year,Mailed check,20.75,487.05,20.29,0
69,DSL,No,Two year,Credit card (automatic),61.45,4131.2,59.87,0
42,DSL,No,Month-to-month,Mailed check,54.5,2301.15,54.79,0
2,Fiber optic,No,Month-to-month,Electronic check,69.6,131.65,65.82,1
39,Fiber optic,No,Month-to-month,Electronic check,99.75,4036.0,103.49,0
45,Fiber optic,Yes,Two year,Bank transfer (automatic),109.75,4900.65,108.9,0
72,DSL,Yes,Two year,Bank transfer (automatic),80.85,5727.45,79.55,0
38,No,No internet service,Two year,Mailed check,20.3,743.05,19.55,0
72,DSL,Yes,Two year,Bank transfer (automatic),67.8,4804.65,66.73,0
1,No,No internet service,Month-to-month,Mailed check,24.05,24.05,24.05,1
72,No,No internet service,Two year,Credit card (automatic),19.8,1414.65,19.65,0
55,No,No internet service,Two year,Bank transfer (automatic),25.7,1443.65,26.25,0
51,DSL,Yes,One year,Electronic check,56.15,2898.95,56.84,0
63,DSL,Yes,Two year,Bank transfer (automatic),86.7,5309.5,84.28,0
1,No,No internet service,Month-to-month,Mailed check,20.4,20.4,20.4,0
23,No,No internet service,Two year,Mailed check,19.65,451.55,19.63,0
1,DSL,No,Month-to-month,Electronic check,50.55,50.55,50.55,1
2,DSL,Yes,Month-to-month,Mailed check,54.35,117.05,58.52,0
52,Fiber optic,No,Month-to-month,Credit card (automatic),108.1,5839.3,112.29,0
36,DSL,No,One year,Mailed check,54.45,1893.5,52.6,0
1,DSL,No,Month-to-month,Mailed check,45.35,45.35,45.35,0
28,DSL,No,One year,Mailed check,59.0,1654.45,59.09,0
7,DSL,No,One year,Electronic check,69.45,477.05,68.15,0
14,Fiber optic,No,Month-to-month,Electronic check,100.55,1415.55,101.11,1
72,DSL,Yes,Two year,Credit card (automatic),64.95,4546.0,63.14,0
1,No,No internet service,Month-to-month,Mailed check,20.5,20.5,20.5,1
10,No,No internet service,Month-to-month,Mailed check,18.85,163.2,16.32,0
42,No,No internet service,One year,Bank transfer (automatic),19.8,849.9,20.24,0
7,DSL,No,Month-to-month,Bank transfer (automatic),25.05,189.95,27.14,0
4,Fiber optic,No,Month-to-month,Bank transfer (automatic),74.8,321.9,80.47,1
72,Fiber optic,Yes,Two year,Credit card (automatic),114.3,8058.55,111.92,0
20,DSL,No,Month-to-month,Electronic check,24.45,482.8,24.14,1
63,Fiber optic,Yes,Two year,Credit card (automatic),109.2,7049.75,111.9,0
56,DSL,Yes,Two year,Bank transfer (automatic),45.05,2560.1,45.72,0
5,DSL,Yes,Month-to-month,Mailed check,51.0,286.8,57.36,0
